PID,Name,CPU%,Memory%
657,kworker/R-cryptd,0.0,0.0
690,kworker/5:2-mm_percpu_wq,0.0,0.0
719,irq/75-rtw89_pci,0.0,0.0
801,kworker/R-amdgpu-reset-dev,0.0,0.0
819,nv_queue,0.0,0.0
820,nv_queue,0.0,0.0
821,nv_open_q,0.0,0.0
826,kworker/R-ttm,0.0,0.0
958,nvidia-modeset/kthread_q,0.0,0.0
959,nvidia-modeset/deferred_close_kthread_q,0.0,0.0
961,irq/81-nvidia,0.0,0.0
962,nvidia,0.0,0.0
963,nv_queue,0.0,0.0
964,kworker/9:2-mm_percpu_wq,0.0,0.0
966,systemd-oomd,0.0,0.053146282529141456
967,systemd-resolved,0.0,0.09535816243267006
968,systemd-timesyncd,0.0,0.054898047290867544
1041,avahi-daemon,0.0,0.03045810343775358
1042,bluetoothd,0.0,0.04379411904315218
1043,dbus-daemon,0.0,0.04811702240676656
1046,gnome-remote-desktop-daemon,0.0,0.11211294475046958
1060,polkitd,0.0,0.07052265879465022
1063,power-profiles-daemon,0.0,0.04834305656956992
1067,snapd,0.0,0.26963050195406535
1068,accounts-daemon,0.0,0.0532027910698423
1069,cron,0.0,0.01887385259408107
1070,switcheroo-control,0.0,0.04678907170029679
1072,systemd-logind,0.0,0.06249844601513072
1074,udisksd,0.0,0.10516239424426609
1077,avahi-daemon,0.0,0.008843586619681699
1084,rsyslogd,0.0,0.04291823666228914
1132,kworker/0:3-mm_percpu_wq,0.0,0.0
1141,NetworkManager,0.0,0.13432080124590032
1149,wpa_supplicant,0.0,0.07817956605961425
1165,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0
1166,kworker/R-amdgpu_dm_hpd_rx_offload_wq,0.0,0.0
1167,kworker/R-dm_vblank_control_workqueue,0.0,0.0
1177,ModemManager,0.0,0.08284152066743368
1185,card1-crtc0,0.0,0.0
1186,card1-crtc1,0.0,0.0
1187,card1-crtc2,0.0,0.0
1188,card1-crtc3,0.0,0.0
1413,UVM global queue,0.0,0.0
1417,UVM deferred release queue,0.0,0.0
1418,UVM Tools Event Queue,0.0,0.0
1558,nvidia-persistenced,0.0,0.014127135175210382
1567,cupsd,0.0,0.0830110462895362
1570,canonical-livepatchd,0.0,0.081118010176058
1574,unattended-upgr,0.0,0.15828042250305713
1595,colord,0.0,0.09787279249385751
1603,gdm3,0.0,0.060831444064455904
1740,rtkit-daemon,0.0,0.023733587094353442
1845,krfcommd,0.0,0.0
1889,cups-browsed,0.0,0.14172342007771055
1896,kerneloops,0.0,0.01624620545149194
1899,kerneloops,0.0,0.01590715420728689
2178,upowerd,0.0,0.07218966074532504
2541,gdm-session-worker,0.0,0.07481730788791419
2558,systemd,0.0,0.0970251643833449
2563,(sd-pam),0.0,0.025796148829934158
2576,pipewire,0.0,0.0985226407119172
2577,pipewire,0.0,0.04065789503425547
2581,wireplumber,0.0,0.12779406479495312
2582,pipewire-pulse,0.0,0.14714823998499132
2584,gnome-keyring-daemon,0.0,0.0722461692860259
2596,dbus-daemon,0.0,0.04645002045609173
2641,xdg-document-portal,0.0,0.04927544749113381
2645,xdg-permission-store,0.0,0.041788065848272306
2652,fusermount3,0.0,0.013703321119954068
2690,gdm-wayland-session,0.0,0.03981026692374286
2702,gnome-session-binary,0.0,0.1138929637825461
2720,gcr-ssh-agent,0.0,0.04848432792132203
2721,gnome-session-ctl,0.0,0.03935819859813612
2739,gvfsd,0.0,0.05368311366579945
2754,gvfsd-fuse,0.0,0.046676054618895096
2756,gnome-session-binary,0.0,0.12290607602433032
2792,at-spi-bus-launcher,0.0,0.053089773988440614
2802,dbus-daemon,0.0,0.03478100680136796
2803,gnome-shell,0.0,2.9418063746154592
2826,nvidia-drm/timeline-1ed,0.0,0.0
2849,at-spi2-registryd,0.0,0.053344062421594396
2868,gnome-shell-calendar-server,0.0,0.11993937763753613
2877,evolution-source-registry,0.0,0.6226393557122224
2887,gjs,0.0,0.1870997782604863
